# RTVLAS Proof Log
frame=30 timestamp_ms=6000 verdict=Flag trust=0.982 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=31 timestamp_ms=6200 verdict=Flag trust=0.964 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=32 timestamp_ms=6400 verdict=Flag trust=0.946 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=33 timestamp_ms=6600 verdict=Flag trust=0.928 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=34 timestamp_ms=6800 verdict=Flag trust=0.910 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=35 timestamp_ms=7000 verdict=Flag trust=0.892 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=36 timestamp_ms=7200 verdict=Flag trust=0.874 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=37 timestamp_ms=7400 verdict=Flag trust=0.856 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=38 timestamp_ms=7600 verdict=Flag trust=0.838 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=39 timestamp_ms=7800 verdict=Flag trust=0.820 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=40 timestamp_ms=8000 verdict=Flag trust=0.802 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=41 timestamp_ms=8200 verdict=Flag trust=0.784 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=42 timestamp_ms=8400 verdict=Flag trust=0.766 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=43 timestamp_ms=8600 verdict=Flag trust=0.748 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=44 timestamp_ms=8800 verdict=Flag trust=0.730 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=45 timestamp_ms=9000 verdict=Flag trust=0.712 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=46 timestamp_ms=9200 verdict=Flag trust=0.694 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=47 timestamp_ms=9400 verdict=Flag trust=0.676 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=48 timestamp_ms=9600 verdict=Flag trust=0.658 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=49 timestamp_ms=9800 verdict=Flag trust=0.640 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=50 timestamp_ms=10000 verdict=Flag trust=0.622 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=51 timestamp_ms=10200 verdict=Flag trust=0.604 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=52 timestamp_ms=10400 verdict=Flag trust=0.586 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=53 timestamp_ms=10600 verdict=Flag trust=0.568 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=54 timestamp_ms=10800 verdict=Flag trust=0.550 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=55 timestamp_ms=11000 verdict=Flag trust=0.532 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=56 timestamp_ms=11200 verdict=Flag trust=0.514 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=57 timestamp_ms=11400 verdict=Flag trust=0.496 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=58 timestamp_ms=11600 verdict=Flag trust=0.478 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
frame=59 timestamp_ms=11800 verdict=Flag trust=0.460 causes=[Threat Standoff Margin=Flag, WEZ Exposure Bound=Flag, Route Efficiency Floor=Flag]
