# RTVLAS Proof Log
frame=20 timestamp_ms=4000 verdict=Reject trust=0.839 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=21 timestamp_ms=4200 verdict=Reject trust=0.677 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=22 timestamp_ms=4400 verdict=Reject trust=0.516 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=23 timestamp_ms=4600 verdict=Reject trust=0.355 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=24 timestamp_ms=4800 verdict=Reject trust=0.193 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=25 timestamp_ms=5000 verdict=Reject trust=0.032 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=26 timestamp_ms=5200 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=27 timestamp_ms=5400 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=28 timestamp_ms=5600 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=29 timestamp_ms=5800 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=30 timestamp_ms=6000 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=31 timestamp_ms=6200 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=32 timestamp_ms=6400 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=33 timestamp_ms=6600 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=34 timestamp_ms=6800 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=35 timestamp_ms=7000 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=36 timestamp_ms=7200 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=37 timestamp_ms=7400 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=38 timestamp_ms=7600 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=39 timestamp_ms=7800 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=40 timestamp_ms=8000 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=41 timestamp_ms=8200 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=42 timestamp_ms=8400 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=43 timestamp_ms=8600 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=44 timestamp_ms=8800 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=45 timestamp_ms=9000 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=46 timestamp_ms=9200 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=47 timestamp_ms=9400 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=48 timestamp_ms=9600 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=49 timestamp_ms=9800 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=50 timestamp_ms=10000 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=51 timestamp_ms=10200 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=52 timestamp_ms=10400 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=53 timestamp_ms=10600 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=54 timestamp_ms=10800 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=55 timestamp_ms=11000 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=56 timestamp_ms=11200 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=57 timestamp_ms=11400 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=58 timestamp_ms=11600 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
frame=59 timestamp_ms=11800 verdict=Reject trust=0.003 causes=[Threat Standoff Margin=Reject, WEZ Exposure Bound=Reject, Route Efficiency Floor=Reject, Mutual Support Deconfliction Margin=Reject]
